Tweets	Followers	Friends	Happy	Sad
27636	266	108	0.480927	0.519073
143	408	645	0.480856	0.519144
209	63	152	0.480856	0.519144
4960	185	105	0.480856	0.519144
615	147	141	0.480856	0.519144
2	1	1	0.480856	0.519144
290	43	54	0.480856	0.519144
12	1	3	0.480856	0.519144
836	28	36	0.480856	0.519144
4327	4093	4373	0.480927	0.519073
37	68	70	0.970588	0.029412
935	139	155	0.480856	0.519144
3006	902	19	0.480856	0.519144
1012	183	10	0.480856	0.519144
82	8	27	0.480856	0.519144
341	41	38	0.970588	0.029412
5054	287	113	0.480856	0.519144
264	128166	2701	0.480856	0.519144
51	6	23	0.999150	0.000850
49	2	2	0.480856	0.519144
37	32	60	0.480856	0.519144
309	32	35	0.480856	0.519144
5672	832	62	0.480856	0.519144
41	15	47	0.480856	0.519144
52	2	12	0.480856	0.519144
16585	2028	2228	0.480856	0.519144
477	68	88	0.480856	0.519144
45	18	22	0.999150	0.000850
5294	440	535	0.480856	0.519144
3	5	7	0.970588	0.029412
678	106	104	0.480856	0.519144
29	13	13	0.480856	0.519144
2127	61	1	0.000990	0.999010
561	1133	1603	0.480856	0.519144
6960	395	187	0.999568	0.000432
111	193	385	0.999150	0.000850
7639	3838	2775	0.480856	0.519144
1003	169	298	0.480856	0.519144
500	250	231	0.480856	0.519144
449	64	176	0.480856	0.519144
8676	175	0	0.480856	0.519144
337	886	651	0.480856	0.519144
353	123	335	0.480856	0.519144
257	10	22	0.480856	0.519144
16115	490	210	0.480856	0.519144
536	28	32	0.480856	0.519144
3508	754	949	0.480856	0.519144
116	65	59	0.480856	0.519144
2479	156	230	0.480856	0.519144
608	104	65	0.480856	0.519144
1376	239	422	0.480856	0.519144
546	67	49	0.480856	0.519144
1522	58	0	0.480856	0.519144
7	4	7	0.480856	0.519144
49	34	68	0.480856	0.519144
52	38	135	0.480856	0.519144
212	23	11	0.519134	0.480866
1193	115	255	0.480856	0.519144
1189	177	95	0.480856	0.519144
365	81	73	0.480856	0.519144
79	6	13	0.029419	0.970581
126	27	24	0.480856	0.519144
438	33	69	0.480856	0.519144
18	2	0	0.480856	0.519144
13586	3112	1000	0.480856	0.519144
4318	274	58	0.480856	0.519144
161	56	57	0.480856	0.519144
6882	336	297	0.480856	0.519144
12045	1018	344	0.480927	0.519073
1605	80	0	0.480856	0.519144
2546	107	173	0.480856	0.519144
4334	116	0	0.480856	0.519144
376	53	71	0.480856	0.519144
2470	94	53	0.970588	0.029412
153	21	35	0.480856	0.519144
75	17	24	0.480856	0.519144
1191	223	163	0.480856	0.519144
2	0	8	0.480856	0.519144
1883	1416	753	0.970588	0.029412
3	5	7	0.480856	0.519144
241	16	34	0.480856	0.519144
36	10	28	0.480856	0.519144
37	643	1712	0.480856	0.519144
3346	128	192	0.480856	0.519144
483	82	170	0.480856	0.519144
607	16	79	0.480856	0.519144
154	62	85	0.480856	0.519144
11051	1308	1513	0.480856	0.519144
119	17	33	0.480856	0.519144
141	5667	5932	0.480856	0.519144
158	21	25	0.480856	0.519144
102	30	103	0.480856	0.519144
704	54	27	0.480856	0.519144
3553	564	460	0.480856	0.519144
646	23	47	0.970596	0.029404
179	50	100	0.480856	0.519144
57	52	67	0.480856	0.519144
42	13	23	0.480856	0.519144
1475	380	323	0.480856	0.519144
66	16	43	0.970588	0.029412
21767	897	323	0.480856	0.519144
292	87	37	0.480927	0.519073
80	26	30	0.480927	0.519073
137	17	34	0.480856	0.519144
226	41	80	0.480856	0.519144
514	79	70	0.480856	0.519144
108	54	77	0.999150	0.000850
7315	219	0	0.480856	0.519144
351	36	31	0.480927	0.519073
1731	66	123	0.480856	0.519144
2912	462	0	0.480856	0.519144
247	323	480	0.480856	0.519144
12724	487	193	0.480856	0.519144
225	24	27	0.480856	0.519144
592	203	214	0.480856	0.519144
6077	310	170	0.999150	0.000850
1164	40	48	0.480856	0.519144
12	8	28	0.480856	0.519144
241	28	11	0.999976	0.000024
6712	209	115	0.480856	0.519144
818	74	54	0.480856	0.519144
598	67	178	0.480856	0.519144
137	12	22	0.480856	0.519144
835	100	68	0.480856	0.519144
1928	202	59	0.480856	0.519144
72	435	782	0.480856	0.519144
493	44	92	0.480856	0.519144
235	54	72	0.480856	0.519144
511	1098	20	0.480856	0.519144
8226	1839	1	0.480856	0.519144
2191	372	377	0.480856	0.519144
558	62	170	0.480856	0.519144
5195	277	166	0.480856	0.519144
1258	76	26	0.970588	0.029412
529	89	178	0.480856	0.519144
716	59	49	0.970596	0.029404
617	70	77	0.480856	0.519144
17	3	4	0.480856	0.519144
21308	1070	647	0.480927	0.519073
149	20	30	0.480856	0.519144
